adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,33000000,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",http://www.sevenmovie.com/,807,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Juno Pix', 'id': 4286}, {'name': 'Cecchi Gori Pictures', 'id': 65394}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/22/1995,327311859,127,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Seven deadly sins. Seven ways to die.,Se7en,FALSE,8.1,5915
FALSE,"{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}",55000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,10530,tt0114148,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/14/1995,346079773,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An American legend comes to life.,Pocahontas,FALSE,6.7,1509
FALSE,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",,99040,tt0112714,fr,Le confessionnal,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",0.120789,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",9/29/1995,0,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Confessional,FALSE,6.5,2
FALSE,,45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",,11359,tt0113419,en,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,10.673296,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'The Kennedy/Marshall Company', 'id': 862}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/14/1995,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Indian in the Cupboard,FALSE,5.9,136
FALSE,,15000000,"[{'id': 35, 'name': 'Comedy'}]",,9536,tt0115683,en,Bio-Dome,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",6.387469,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}, {'name': '3 Arts Entertainment', 'id': 36390}, {'name': 'Weasel Productions', 'id': 38003}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/12/1996,0,88,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,Bio-Dome,FALSE,4.4,110
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,4482,tt0113149,fr,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,"[{'name': 'Renn Productions', 'id': 82}, {'name': 'Les Films Flam', 'id': 1614}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2/8/1995,0,95,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,French Twist,FALSE,6,43
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,28387,tt0113537,en,Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",3.367276,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,"[{'name': 'Castleberg Productions', 'id': 5841}, {'name': 'Sandollar Productions', 'id': 5842}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/6/1995,718490,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Anxiety loves company.,Kicking and Screaming,FALSE,7,36
FALSE,,8000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,400,tt0114660,en,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,"[{'name': 'Miramax Films', 'id': 14}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",12/1/1995,529766,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,FALSE,6.7,87
FALSE,,1300000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Italo/Judeo Productions', 'id': 46059}, {'name': 'Bill/Phillips', 'id': 46060}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/7/1976,28262574,114,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,FALSE,8.1,2632
FALSE,,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,43566,tt0115645,en,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend.,2.938293,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/23/1996,0,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,A murder. A suspect. A shadow of a doubt.,Before and After,FALSE,5.8,37
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,11104,tt0109424,cn,重慶森林,"Every day, Cop 223 buys a can of pineapple with an expiration date of May 1, symbolizing the day he'll get over his lost love. He's also got his eye on a mysterious woman in a blond wig, oblivious of the fact she's a drug dealer. Cop 663 is distraught with heartbreak over a breakup. But when his ex drops a spare set of his keys at a local cafe, a waitress lets herself into his apartment and spruces up his life.",6.778979,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg,"[{'name': 'Jet Tone Production', 'id': 540}, {'name': 'The Criterion Collection', 'id': 10932}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",7/14/1994,0,102,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,What a difference a day makes,Chungking Express,FALSE,7.9,249
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,37975,tt0114808,it,L'uomo delle stelle,The adventures and deceptions of a photographer who travels through the small villages of Sicily pretending that he is working for the big film studios in Rome.,1.702639,/zRLV8Gz4x3k4Dc4Zxbmz7jsqNoN.jpg,"[{'name': 'Cecchi Gori Group Tiger Cinematografica', 'id': 371}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",9/21/1995,0,113,"[{'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...",The Star Maker,FALSE,6.8,29
FALSE,"{'id': 91430, 'name': 'The Neverending Story Collection', 'poster_path': '/tXuOhgEbXoba7vVIybzGlnycoNq.jpg', 'backdrop_path': '/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg'}",17000000,"[{'id': 14, 'name': 'Fantasy'}]",,27793,tt0110647,en,The NeverEnding Story III,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.,6.252377,/driZCEKL79PaCsZNICSU3xd59sk.jpg,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Dieter Geissler Filmproduktion', 'id': 1766}, {'name': 'Cinevox Filmproduktion GmbH', 'id': 1979}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Miramax', 'id': 53009}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/26/1994,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's a brand new beginning in the adventure that never ends,The Neverending Story III: Escape from Fantasia,FALSE,4.4,105
FALSE,"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",19000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,9737,tt0112442,en,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",9.262184,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/7/1995,141407024,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Whatcha gonna do?,Bad Boys,FALSE,6.5,1729
FALSE,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,30157,tt0109093,en,Amateur,"A man wakes up in an alley, bleeding and with no memory of who he is. He stumbles into a coffee shop and is befriended by a charitable ex-nun who is failing in her attempts to write marketable pornography.",1.759012,/lZHBvDFavIfOx8gD4iqY701jF98.jpg,"[{'name': 'Channel Four Films', 'id': 181}, {'name': 'Zenith Entertainment', 'id': 3644}, {'name': 'American Playhouse', 'id': 3906}, {'name': 'Union Générale Cinématographique (UGC)', 'id': 7248}, {'name': 'La Sept Cinéma', 'id': 16366}, {'name': 'True Fiction Pictures', 'id': 37909}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",8/5/1994,0,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption",Amateur,FALSE,6.5,21
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,1873,tt0112495,en,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",[],5/24/1995,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Truth has a witness,Beyond Rangoon,FALSE,6.4,21
FALSE,,11000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",,1775,tt0109370,en,Canadian Bacon,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the public’s opinion of him up during election time. Canadian Bacon is actor John Candy’s last film.,5.391556,/qnKARYBofUzHkBY8x9GWSNSoota.jpg,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",6/8/1995,178104,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"I'll tell ya another thing, their beer sucks!",Canadian Bacon,FALSE,5.9,57
FALSE,"{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}",7000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,8068,tt0112851,en,Desperado,A gunslinger is embroiled in a war with a local drug runner.,6.950458,/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Los Hooligans Productions', 'id': 11705}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/25/1995,25405445,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When the smoke clears, it just means he's reloading.",Desperado,FALSE,6.8,898
FALSE,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",90000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,1572,tt0112864,en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/19/1995,366101666,128,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ro', 'name': 'Română'}]",Released,Think fast. Look alive. Die hard.,Die Hard: With a Vengeance,FALSE,6.9,2094
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,17447,tt0113464,en,Jeffrey,"Jeffery, a young gay man in New York, decides that sex is too much and decided to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth the danger of a boyfriend dying.",3.196456,/mdQd6vgt2sr8gCIVUucwxus29j1.jpg,"[{'name': 'The Booking Office', 'id': 12909}, {'name': ""Workin' Man Films"", 'id': 12910}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/18/1995,0,92,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,Love is an adventure when one of you is sure... and the other is positive.,Jeffrey,FALSE,6.5,19
